Analysis_ID,CheckIn_Date_ID,City_ID,Star_Rating,Price_Delta_Bucket,Feature_Parity_Bucket,Total_Opportunities,Wins_Count,Losses_Count,Win_Rate_Pct,Avg_Price_Delta_SAR,Avg_Feature_Parity_Score,Revenue_Impact_SAR
1,20240107,1,3,Cheaper_10pct+,Low_0_50pct,281,148,133,53,-51.27,0.6,86117.36
2,20240107,1,3,Cheaper_10pct+,Medium_50_75pct,58,12,46,21,-55.96,0.67,18262.76
3,20240107,1,3,Cheaper_10pct+,High_75_90pct,244,78,166,32,-6.17,0.89,88437.76
4,20240107,1,3,Cheaper_10pct+,Match_90pct+,440,312,128,71,30.12,0.62,597693.5
5,20240107,1,3,Cheaper_5_10pct,Low_0_50pct,79,19,60,25,-60.56,0.99,9790.79
6,20240107,1,3,Cheaper_5_10pct,Medium_50_75pct,61,6,55,11,80.37,0.53,3476.53
7,20240107,1,3,Cheaper_5_10pct,High_75_90pct,442,141,301,32,58.49,0.61,87641.73
8,20240107,1,3,Cheaper_5_10pct,Match_90pct+,356,39,317,11,-76.17,0.58,70842.84
9,20240107,1,3,Match_5pct,Low_0_50pct,350,182,168,52,86.72,0.62,251155.49
10,20240107,1,3,Match_5pct,Medium_50_75pct,267,178,89,67,24.89,0.8,302258.24
11,20240107,1,3,Match_5pct,High_75_90pct,471,160,311,34,-85.74,0.96,257677.21
12,20240107,1,3,Match_5pct,Match_90pct+,390,124,266,32,90.86,0.63,204216.78
13,20240107,1,3,Expensive_5_10pct,Low_0_50pct,100,59,41,59,-10.67,0.63,54344.92
14,20240107,1,3,Expensive_5_10pct,Medium_50_75pct,55,24,31,45,43.51,0.79,13831.69
15,20240107,1,3,Expensive_5_10pct,High_75_90pct,339,186,153,55,-73.97,0.71,141860.38
16,20240107,1,3,Expensive_5_10pct,Match_90pct+,494,167,327,34,67.07,0.66,154426.56
17,20240107,1,3,Expensive_10pct+,Low_0_50pct,312,190,122,61,2.06,0.72,119191.47
18,20240107,1,3,Expensive_10pct+,Medium_50_75pct,71,43,28,61,82.92,0.68,81186.61
19,20240107,1,3,Expensive_10pct+,High_75_90pct,123,97,26,79,33.86,0.69,70375.93
20,20240107,1,3,Expensive_10pct+,Match_90pct+,473,175,298,37,4.59,0.76,105827.09
21,20240107,1,4,Cheaper_10pct+,Low_0_50pct,411,238,173,58,34.89,0.96,381383.46
22,20240107,1,4,Cheaper_10pct+,Medium_50_75pct,151,52,99,35,-18.15,0.55,28731.13
23,20240107,1,4,Cheaper_10pct+,High_75_90pct,440,171,269,39,-16.57,0.88,220432.85
24,20240107,1,4,Cheaper_10pct+,Match_90pct+,353,222,131,63,-40.45,0.89,279278.77
25,20240107,1,4,Cheaper_5_10pct,Low_0_50pct,373,70,303,19,-75.48,0.59,71495.44
26,20240107,1,4,Cheaper_5_10pct,Medium_50_75pct,478,339,139,71,69.92,0.93,503429.75
27,20240107,1,4,Cheaper_5_10pct,High_75_90pct,110,79,31,72,42.52,0.88,145378.61
28,20240107,1,4,Cheaper_5_10pct,Match_90pct+,114,12,102,11,-51.48,0.62,16780.09
29,20240107,1,4,Match_5pct,Low_0_50pct,320,188,132,59,61.29,0.54,247019.11
30,20240107,1,4,Match_5pct,Medium_50_75pct,353,243,110,69,-48.51,0.67,267256.2
31,20240107,1,4,Match_5pct,High_75_90pct,147,66,81,45,98.37,0.53,117073.62
32,20240107,1,4,Match_5pct,Match_90pct+,388,209,179,54,8.21,0.96,268901.36
33,20240107,1,4,Expensive_5_10pct,Low_0_50pct,415,99,316,24,93.78,0.72,135087.55
34,20240107,1,4,Expensive_5_10pct,Medium_50_75pct,109,87,22,80,-55.92,0.87,95760.89
35,20240107,1,4,Expensive_5_10pct,High_75_90pct,333,159,174,48,81.64,0.59,210197.89
36,20240107,1,4,Expensive_5_10pct,Match_90pct+,270,70,200,26,-59.44,0.53,91087.21
37,20240107,1,4,Expensive_10pct+,Low_0_50pct,376,293,83,78,-15.11,0.9,266285.05
38,20240107,1,4,Expensive_10pct+,Medium_50_75pct,298,44,254,15,-23.41,0.52,64438.77
39,20240107,1,4,Expensive_10pct+,High_75_90pct,121,76,45,63,-66.45,0.9,130144.62
40,20240107,1,4,Expensive_10pct+,Match_90pct+,307,174,133,57,-68.13,0.93,192936.34
41,20240107,1,5,Cheaper_10pct+,Low_0_50pct,191,49,142,26,-40.35,0.9,75715.29
42,20240107,1,5,Cheaper_10pct+,Medium_50_75pct,346,76,270,22,16.58,0.55,73379.63
43,20240107,1,5,Cheaper_10pct+,High_75_90pct,131,83,48,64,41.48,0.69,162370.04
44,20240107,1,5,Cheaper_10pct+,Match_90pct+,79,43,36,55,13.06,0.66,71518.47
45,20240107,1,5,Cheaper_5_10pct,Low_0_50pct,130,84,46,65,25.04,0.92,72241.89
46,20240107,1,5,Cheaper_5_10pct,Medium_50_75pct,150,94,56,63,56.99,0.77,133046.29
47,20240107,1,5,Cheaper_5_10pct,High_75_90pct,136,81,55,60,47.04,0.57,92997.79
48,20240107,1,5,Cheaper_5_10pct,Match_90pct+,400,224,176,56,-48.09,0.74,439518.29
49,20240107,1,5,Match_5pct,Low_0_50pct,236,129,107,55,58.26,0.58,178927.2
50,20240107,1,5,Match_5pct,Medium_50_75pct,315,110,205,35,-93.68,0.85,77354.69
51,20240107,1,5,Match_5pct,High_75_90pct,290,52,238,18,-83.42,0.59,72949.31
52,20240107,1,5,Match_5pct,Match_90pct+,196,68,128,35,-68.21,0.76,43587.0
53,20240107,1,5,Expensive_5_10pct,Low_0_50pct,239,81,158,34,46.67,0.54,112991.05
54,20240107,1,5,Expensive_5_10pct,Medium_50_75pct,148,28,120,19,-80.95,0.8,22932.07
55,20240107,1,5,Expensive_5_10pct,High_75_90pct,494,49,445,10,64.48,0.54,89240.46
56,20240107,1,5,Expensive_5_10pct,Match_90pct+,338,155,183,46,-71.5,0.87,222077.76
57,20240107,1,5,Expensive_10pct+,Low_0_50pct,413,276,137,67,-10.79,0.64,501065.54
58,20240107,1,5,Expensive_10pct+,Medium_50_75pct,349,261,88,75,46.48,0.71,417196.37
59,20240107,1,5,Expensive_10pct+,High_75_90pct,366,91,275,25,-93.96,0.63,135089.64
60,20240107,1,5,Expensive_10pct+,Match_90pct+,442,106,336,24,1.11,1.0,185148.54
61,20240107,2,3,Cheaper_10pct+,Low_0_50pct,459,307,152,67,-12.57,0.5,437160.42
62,20240107,2,3,Cheaper_10pct+,Medium_50_75pct,245,122,123,50,17.42,0.82,96301.41
63,20240107,2,3,Cheaper_10pct+,High_75_90pct,179,17,162,10,99.0,0.96,27186.25
64,20240107,2,3,Cheaper_10pct+,Match_90pct+,308,49,259,16,-57.77,0.9,76442.95
65,20240107,2,3,Cheaper_5_10pct,Low_0_50pct,197,112,85,57,8.08,0.97,164702.75
66,20240107,2,3,Cheaper_5_10pct,Medium_50_75pct,408,248,160,61,-65.41,0.51,155204.76
67,20240107,2,3,Cheaper_5_10pct,High_75_90pct,388,77,311,20,-86.97,0.8,103963.0
68,20240107,2,3,Cheaper_5_10pct,Match_90pct+,308,104,204,34,14.39,0.89,83459.99
69,20240107,2,3,Match_5pct,Low_0_50pct,89,62,27,70,-48.25,0.84,84609.11
70,20240107,2,3,Match_5pct,Medium_50_75pct,179,76,103,43,61.16,0.8,76495.8
71,20240107,2,3,Match_5pct,High_75_90pct,461,87,374,19,57.75,0.74,49559.35
72,20240107,2,3,Match_5pct,Match_90pct+,201,32,169,16,15.44,0.66,25646.98
73,20240107,2,3,Expensive_5_10pct,Low_0_50pct,57,44,13,78,-47.45,0.91,29469.38
74,20240107,2,3,Expensive_5_10pct,Medium_50_75pct,95,16,79,17,-22.61,0.87,8473.97
75,20240107,2,3,Expensive_5_10pct,High_75_90pct,311,111,200,36,53.18,0.82,104376.31
76,20240107,2,3,Expensive_5_10pct,Match_90pct+,357,121,236,34,-83.78,0.78,204177.85
77,20240107,2,3,Expensive_10pct+,Low_0_50pct,288,138,150,48,-83.53,0.52,162813.7
78,20240107,2,3,Expensive_10pct+,Medium_50_75pct,357,110,247,31,-77.26,0.5,78464.15
79,20240107,2,3,Expensive_10pct+,High_75_90pct,323,197,126,61,-50.72,0.92,169194.15
80,20240107,2,3,Expensive_10pct+,Match_90pct+,350,269,81,77,95.77,0.74,207895.87
