Feature_ID,Feature_Name,Feature_Type,Competitor_Availability,Competitive_Advantage_Score,Our_OTA_Offers_Flag
1,Free Cancellation,Booking Flexibility,"Booking.com,Agoda,Expedia",7,1
2,Free WiFi,Other,"Booking.com,Agoda,Expedia",4,0
3,Instant Booking,Booking Flexibility,"Booking.com,Agoda,Expedia",4,0
4,Price Guarantee,Pricing,"Booking.com,Agoda,Expedia",5,1
5,Loyalty Program,Loyalty,"Booking.com,Agoda,Expedia",10,1
6,Late Checkout,Booking Flexibility,All,10,1
7,Free Breakfast,Other,All,6,1
8,Airport Shuttle,Other,All,6,0
9,Mobile-Only Deals,Pricing,All,6,0
10,Flexible Dates Search,Other,All,7,1
11,Travel Insurance,Other,All,2,1
12,Installment Payment,Payment,All,6,1
13,Corporate Discounts,Payment,All,8,1
14,Family Packages,Other,All,7,0
15,24/7 Support Chat,Other,All,9,1
16,Group Booking Discount,Other,All,5,1
17,Mada Payment Support,Payment,All,9,1
18,Points Redemption,Loyalty,All,8,1
19,Express Checkout,Other,All,10,1
20,Luxury Concierge,Other,All,4,1
