Date_ID,Calendar_Date,Year,Quarter,Month_Number,Month_Name,Day_Of_Month,Day_Of_Week,Week_Number,Is_Weekend,Is_Holiday,Holiday_Name,Hijri_Date,Hijri_Month_Name,Hijri_Month_Number,Hijri_Year,Is_Ramadan_Period,Is_Hajj_Season,Is_Eid_Period,Season_Type,Event_Flag_Founding_Day,Event_Flag_National_Day
20240101,2024-01-01,2024,1,1,January,1,Monday,1,0,0,,01/01/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240102,2024-01-02,2024,1,1,January,2,Tuesday,1,0,0,,02/01/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240103,2024-01-03,2024,1,1,January,3,Wednesday,1,0,0,,03/01/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240104,2024-01-04,2024,1,1,January,4,Thursday,1,0,0,,04/01/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240105,2024-01-05,2024,1,1,January,5,Friday,1,1,0,,05/01/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240106,2024-01-06,2024,1,1,January,6,Saturday,1,1,0,,06/01/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240107,2024-01-07,2024,1,1,January,7,Sunday,1,0,0,,07/01/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240108,2024-01-08,2024,1,1,January,8,Monday,2,0,0,,08/01/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240109,2024-01-09,2024,1,1,January,9,Tuesday,2,0,0,,09/01/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240110,2024-01-10,2024,1,1,January,10,Wednesday,2,0,0,,10/01/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240111,2024-01-11,2024,1,1,January,11,Thursday,2,0,0,,11/01/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240112,2024-01-12,2024,1,1,January,12,Friday,2,1,0,,12/01/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240113,2024-01-13,2024,1,1,January,13,Saturday,2,1,0,,13/01/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240114,2024-01-14,2024,1,1,January,14,Sunday,2,0,0,,14/01/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240115,2024-01-15,2024,1,1,January,15,Monday,3,0,0,,15/01/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240116,2024-01-16,2024,1,1,January,16,Tuesday,3,0,0,,16/01/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240117,2024-01-17,2024,1,1,January,17,Wednesday,3,0,0,,17/01/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240118,2024-01-18,2024,1,1,January,18,Thursday,3,0,0,,18/01/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240119,2024-01-19,2024,1,1,January,19,Friday,3,1,0,,19/01/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240120,2024-01-20,2024,1,1,January,20,Saturday,3,1,0,,20/01/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240121,2024-01-21,2024,1,1,January,21,Sunday,3,0,0,,21/01/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240122,2024-01-22,2024,1,1,January,22,Monday,4,0,0,,22/01/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240123,2024-01-23,2024,1,1,January,23,Tuesday,4,0,0,,23/01/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240124,2024-01-24,2024,1,1,January,24,Wednesday,4,0,0,,24/01/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240125,2024-01-25,2024,1,1,January,25,Thursday,4,0,0,,25/01/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240126,2024-01-26,2024,1,1,January,26,Friday,4,1,0,,26/01/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240127,2024-01-27,2024,1,1,January,27,Saturday,4,1,0,,27/01/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240128,2024-01-28,2024,1,1,January,28,Sunday,4,0,0,,28/01/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240129,2024-01-29,2024,1,1,January,29,Monday,5,0,0,,29/01/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240130,2024-01-30,2024,1,1,January,30,Tuesday,5,0,0,,30/01/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240131,2024-01-31,2024,1,1,January,31,Wednesday,5,0,0,,31/01/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240201,2024-02-01,2024,1,2,February,1,Thursday,5,0,0,,01/02/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240202,2024-02-02,2024,1,2,February,2,Friday,5,1,0,,02/02/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240203,2024-02-03,2024,1,2,February,3,Saturday,5,1,0,,03/02/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240204,2024-02-04,2024,1,2,February,4,Sunday,5,0,0,,04/02/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240205,2024-02-05,2024,1,2,February,5,Monday,6,0,0,,05/02/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240206,2024-02-06,2024,1,2,February,6,Tuesday,6,0,0,,06/02/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240207,2024-02-07,2024,1,2,February,7,Wednesday,6,0,0,,07/02/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240208,2024-02-08,2024,1,2,February,8,Thursday,6,0,0,,08/02/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240209,2024-02-09,2024,1,2,February,9,Friday,6,1,0,,09/02/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240210,2024-02-10,2024,1,2,February,10,Saturday,6,1,0,,10/02/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240211,2024-02-11,2024,1,2,February,11,Sunday,6,0,0,,11/02/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240212,2024-02-12,2024,1,2,February,12,Monday,7,0,0,,12/02/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240213,2024-02-13,2024,1,2,February,13,Tuesday,7,0,0,,13/02/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240214,2024-02-14,2024,1,2,February,14,Wednesday,7,0,0,,14/02/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240215,2024-02-15,2024,1,2,February,15,Thursday,7,0,0,,15/02/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240216,2024-02-16,2024,1,2,February,16,Friday,7,1,0,,16/02/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240217,2024-02-17,2024,1,2,February,17,Saturday,7,1,0,,17/02/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240218,2024-02-18,2024,1,2,February,18,Sunday,7,0,0,,18/02/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240219,2024-02-19,2024,1,2,February,19,Monday,8,0,0,,19/02/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240220,2024-02-20,2024,1,2,February,20,Tuesday,8,0,0,,20/02/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240221,2024-02-21,2024,1,2,February,21,Wednesday,8,0,0,,21/02/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240222,2024-02-22,2024,1,2,February,22,Thursday,8,0,1,Founding Day,22/02/2024,Shawwal,10,1445,0,0,0,Business,1,0
20240223,2024-02-23,2024,1,2,February,23,Friday,8,1,0,,23/02/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240224,2024-02-24,2024,1,2,February,24,Saturday,8,1,0,,24/02/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240225,2024-02-25,2024,1,2,February,25,Sunday,8,0,0,,25/02/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240226,2024-02-26,2024,1,2,February,26,Monday,9,0,0,,26/02/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240227,2024-02-27,2024,1,2,February,27,Tuesday,9,0,0,,27/02/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240228,2024-02-28,2024,1,2,February,28,Wednesday,9,0,0,,28/02/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240229,2024-02-29,2024,1,2,February,29,Thursday,9,0,0,,29/02/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240301,2024-03-01,2024,1,3,March,1,Friday,9,1,0,,01/03/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240302,2024-03-02,2024,1,3,March,2,Saturday,9,1,0,,02/03/2024,Shawwal,10,1445,0,0,0,Weekend,0,0
20240303,2024-03-03,2024,1,3,March,3,Sunday,9,0,0,,03/03/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240304,2024-03-04,2024,1,3,March,4,Monday,10,0,0,,04/03/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240305,2024-03-05,2024,1,3,March,5,Tuesday,10,0,0,,05/03/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240306,2024-03-06,2024,1,3,March,6,Wednesday,10,0,0,,06/03/2024,Shawwal,10,1445,0,0,0,Business,0,0
20240307,2024-03-07,2024,1,3,March,7,Thursday,10,0,0,,07/03/2024,Shawwal,10,1445,0,0,0,Business,0,0
