Booking_ID,Hotel_ID,Customer_Persona_ID,Room_Type_ID,Booking_Date_ID,CheckIn_Date_ID,CheckOut_Date_ID,Booking_Amount_SAR,Commission_Rate_Pct,Commission_Amount_SAR,Payment_Method,Payment_Status,Cancellation_Flag,Cancellation_Date_ID,Cancellation_Reason,Length_Of_Stay_Nights,Number_Of_Guests,Repeat_Customer_Flag,Source_Channel_ID,Loyalty_Member_Flag,Loyalty_Discount_Applied_Pct,Lead_Time_Days
10001,1058,6,101,20240101,20240104,20240109,370.7,20.698496446783224,76.73,Mada,Completed,0,,,5,2,0,3,0,,3
10002,1002,8,104,20240101,20240106,20240110,4500.0,15.856129619580212,713.53,Installments,Completed,0,,,4,4,0,1,1,11.92,5
10003,1075,6,106,20240101,20240107,20240111,660.0,20.534729550102497,135.53,Installments,Completed,0,,,4,3,1,1,0,,6
10004,1028,5,102,20240101,20240103,20240106,1237.5,17.764996269686893,219.84,CreditCard,Completed,0,,,3,3,1,1,0,5.46,2
10005,1038,2,101,20240101,20240106,20240108,2250.0,21.378696551059274,481.02,Installments,Completed,0,,,2,4,0,2,0,13.62,5
10006,1009,1,103,20240101,20240108,20240113,660.0,15.740821702556397,103.89,CreditCard,Completed,0,,,5,3,1,2,1,,7
10007,1067,7,105,20240101,20240108,20240111,660.0,24.085043776238038,158.96,Installments,Completed,0,,,3,1,0,2,0,5.81,7
10008,1071,8,105,20240101,20240103,20240106,674.0,15.026757226028858,101.28,CreditCard,Completed,0,,,3,3,0,4,1,7.65,2
10009,1015,3,102,20240101,20240105,20240108,4500.0,21.476347234024807,966.44,CreditCard,Completed,0,,,3,3,0,3,0,,4
10010,1052,7,106,20240101,20240107,20240111,660.0,19.37758863571598,127.89,Installments,Completed,0,,,4,1,1,1,0,,6
10011,1006,5,103,20240101,20240106,20240110,370.7,20.18963840987604,74.84,Installments,Completed,0,,,4,4,0,4,0,,5
10012,1021,7,101,20240101,20240108,20240113,480.0,21.936736739834323,105.3,Mada,Completed,0,,,5,3,1,4,0,,7
10013,1070,8,108,20240101,20240107,20240109,480.0,15.542040853767286,74.6,CreditCard,Completed,0,,,2,2,0,4,0,,6
10014,1031,2,108,20240101,20240107,20240109,2250.0,18.10750138393335,407.42,CreditCard,Completed,1,20240106.0,Change of Plans,2,2,0,3,0,13.35,6
10015,1059,3,102,20240101,20240103,20240106,2250.0,18.8358601324715,423.81,Mada,Completed,0,,,3,4,1,3,0,7.99,2
10016,1020,7,108,20240101,20240108,20240111,660.0,18.451239416930076,121.78,Mada,Completed,0,,,3,2,0,2,0,,7
10017,1061,3,108,20240101,20240108,20240110,900.0,18.860787524909824,169.75,CreditCard,Completed,0,,,2,3,0,4,1,,7
10018,1019,5,106,20240101,20240108,20240110,1200.0,15.748282482437087,188.98,Installments,Completed,0,,,2,1,0,4,0,,7
10019,1070,5,104,20240101,20240109,20240112,438.1,17.347702431020217,76.0,Installments,Completed,0,,,3,1,0,1,0,,8
10020,1042,4,107,20240101,20240103,20240105,505.5,18.584633423003634,93.95,Installments,Completed,0,,,2,2,1,1,0,,2
10021,1075,5,101,20240101,20240106,20240109,1348.0,19.611499133549977,264.36,Mada,Completed,0,,,3,2,1,3,0,14.62,5
10022,1039,5,105,20240101,20240106,20240110,269.6,23.53335458660186,63.45,CreditCard,Completed,1,20240105.0,Schedule Conflict,4,4,1,1,0,,5
10023,1030,5,103,20240101,20240109,20240113,2025.0,17.190045389281053,348.1,Installments,Completed,0,,,4,1,1,4,1,,8
10024,1038,5,103,20240101,20240103,20240106,480.0,16.756400704443067,80.43,Mada,Completed,1,20240102.0,Found Better Price,3,4,0,3,0,,2
10025,1010,7,106,20240101,20240106,20240111,1348.0,23.601405968988217,318.15,CreditCard,Completed,0,,,5,1,1,1,0,,5
10026,1049,1,106,20240101,20240107,20240111,2025.0,16.083461021992306,325.69,Installments,Completed,0,,,4,1,0,4,0,,6
10027,1018,2,104,20240101,20240103,20240105,337.0,18.043645843560054,60.81,Installments,Completed,0,,,2,4,1,4,0,,2
10028,1013,6,104,20240101,20240108,20240110,480.0,24.39053065713655,117.07,Mada,Completed,0,,,2,2,0,1,0,,7
10029,1051,8,102,20240101,20240103,20240105,2400.0,24.682068759363865,592.37,Installments,Completed,0,,,2,1,1,3,1,10.65,2
10030,1071,3,101,20240101,20240109,20240114,1348.0,23.13052981121059,311.8,Mada,Completed,0,,,5,2,0,3,0,13.66,8
10031,1046,3,107,20240101,20240103,20240106,606.6,15.157810835111603,91.95,Installments,Completed,0,,,3,1,0,3,0,10.04,2
10032,1067,2,108,20240101,20240108,20240110,660.0,21.433406842054886,141.46,Installments,Completed,1,20240107.0,Schedule Conflict,2,1,0,3,0,7.75,7
10033,1068,2,104,20240101,20240107,20240109,660.0,20.055510744856804,132.37,Mada,Completed,0,,,2,2,0,4,0,,6
10034,1041,2,102,20240101,20240107,20240109,1687.5,18.743010234355367,316.29,Mada,Completed,1,20240106.0,Change of Plans,2,3,0,1,0,,6
10035,1016,7,101,20240101,20240109,20240111,1080.0,23.736073722343185,256.35,Mada,Completed,0,,,2,3,1,2,1,,8
10036,1072,7,101,20240101,20240106,20240111,780.0,22.626056319368498,176.48,Installments,Completed,0,,,5,3,1,3,0,,5
10037,1001,3,101,20240101,20240106,20240108,674.0,20.663210947613763,139.27,CreditCard,Completed,0,,,2,2,1,4,0,,5
10038,1073,1,102,20240103,20240110,20240112,1462.5,23.833421845183434,348.56,Mada,Completed,0,,,2,4,0,4,0,10.12,7
10039,1015,4,107,20240101,20240107,20240109,660.0,20.26934107148145,133.78,Installments,Completed,0,,,2,2,1,2,0,,6
10040,1016,4,106,20240101,20240106,20240110,370.7,22.470141234297678,83.3,CreditCard,Completed,1,20240105.0,Schedule Conflict,4,1,0,4,0,,5
10041,1052,6,103,20240101,20240108,20240110,900.0,17.895152055857583,161.06,Installments,Completed,0,,,2,3,1,1,1,,7
10042,1040,2,102,20240101,20240107,20240112,2025.0,17.215720588942514,348.62,Installments,Completed,0,,,5,3,1,2,1,6.97,6
10043,1010,8,106,20240101,20240110,20240113,370.7,19.639530685130197,72.8,Installments,Completed,0,,,3,4,1,4,0,,9
10044,1065,2,102,20240101,20240106,20240108,505.5,19.61742486446454,99.17,Installments,Completed,1,20240104.0,Payment Issue,2,4,0,1,0,,5
10045,1061,6,102,20240101,20240106,20240109,2250.0,24.577223588665852,552.99,Installments,Completed,0,,,3,1,1,4,0,,5
10046,1048,1,106,20240101,20240106,20240109,480.0,19.087693972473204,91.62,CreditCard,Completed,0,,,3,4,1,2,0,,5
10047,1040,2,105,20240101,20240106,20240109,900.0,16.289516582715603,146.61,Installments,Completed,0,,,3,3,0,1,0,,5
10048,1047,8,104,20240101,20240104,20240106,1200.0,24.511693135961345,294.14,CreditCard,Completed,0,,,2,2,1,1,0,,3
10049,1044,3,103,20240101,20240110,20240112,2250.0,20.972464410716285,471.88,Installments,Completed,0,,,2,4,1,2,0,,9
10050,1069,4,106,20240104,20240106,20240109,505.5,24.655966371940366,124.64,Installments,Completed,0,,,3,4,0,3,0,,2
10051,1026,2,102,20240101,20240106,20240108,2250.0,23.73001920059347,533.93,Mada,Completed,1,20240105.0,Other,2,2,1,2,0,14.11,5
10052,1004,7,102,20240101,20240107,20240110,600.0,18.964539654702477,113.79,Mada,Completed,0,,,3,3,0,3,0,7.87,6
10053,1018,3,107,20240101,20240110,20240113,1237.5,19.486014739822465,241.14,CreditCard,Completed,1,20240102.0,Schedule Conflict,3,2,1,1,1,,9
10054,1015,3,105,20240101,20240105,20240108,600.0,21.319549420131423,127.92,Mada,Failed,0,,,3,3,1,4,1,,4
10055,1068,7,106,20240101,20240105,20240107,1125.0,18.904537325600643,212.68,Mada,Completed,0,,,2,3,0,3,1,,4
10056,1075,6,103,20240101,20240111,20240116,2025.0,16.33409589859364,330.77,Installments,Completed,0,,,5,4,0,2,1,,10
10057,1038,6,105,20240102,20240105,20240108,337.0,22.911092132290438,77.21,Installments,Completed,0,,,3,4,1,2,1,,3
10058,1043,7,108,20240101,20240111,20240113,780.0,22.993424115182396,179.35,Mada,Completed,0,,,2,2,0,4,0,,10
10059,1011,3,105,20240101,20240111,20240115,900.0,15.789270060554678,142.1,Mada,Completed,0,,,4,3,0,3,0,,10
10060,1057,6,107,20240101,20240110,20240113,660.0,15.423551628501295,101.8,Mada,Completed,0,,,3,1,1,4,0,,9
10061,1019,1,103,20240101,20240105,20240108,1237.5,15.347989657985421,189.93,Installments,Completed,1,20240103.0,Change of Plans,3,3,1,1,0,,4
10062,1036,2,105,20240101,20240107,20240109,438.1,15.259133408641432,66.85,Mada,Completed,1,20240106.0,Other,2,2,0,3,0,,6
10063,1018,2,106,20240101,20240105,20240108,370.7,16.72656363984041,62.01,Installments,Completed,0,,,3,1,0,3,0,,4
10064,1047,3,104,20240101,20240111,20240114,4500.0,16.21362455078457,729.61,Mada,Completed,0,,,3,3,0,2,0,8.09,10
10065,1053,2,108,20240101,20240110,20240113,1404.0,16.25326782259194,228.2,Mada,Completed,0,,,3,3,1,2,0,10.03,9
10066,1016,4,106,20240101,20240112,20240114,4050.0,18.041245428074678,730.67,Installments,Completed,0,,,2,1,1,3,1,,11
10067,1022,6,101,20240101,20240110,20240115,4050.0,16.712006230557922,676.84,CreditCard,Completed,0,,,5,3,0,4,0,13.89,9
10068,1039,5,108,20240101,20240111,20240115,4320.0,23.04688154215733,995.63,CreditCard,Completed,0,,,4,2,0,4,0,,10
10069,1041,6,102,20240101,20240108,20240111,3645.0,24.7537412791488,902.27,Mada,Completed,0,,,3,1,1,2,1,14.45,7
10070,1021,5,108,20240101,20240107,20240109,1944.0,16.898341012233598,328.5,CreditCard,Completed,1,20240106.0,Found Better Price,2,4,0,2,1,,6
10071,1064,5,106,20240101,20240108,20240110,2227.5,17.857483814410177,397.78,Mada,Completed,1,20240104.0,Change of Plans,2,4,1,2,0,8.86,7
10072,1071,6,106,20240101,20240112,20240115,1404.0,16.286633906892153,228.66,Installments,Completed,0,,,3,2,1,4,0,6.37,11
10073,1061,3,106,20240101,20240112,20240114,2227.5,16.489406645764447,367.3,Installments,Completed,0,,,2,4,0,3,0,,11
10074,1073,2,107,20240101,20240111,20240114,1188.0,23.15748833243824,275.11,Installments,Completed,0,,,3,1,0,3,0,,10
10075,1007,7,103,20240101,20240111,20240114,2227.5,16.705120617466594,372.11,Installments,Completed,0,,,3,1,1,4,0,11.91,10
10076,1061,6,108,20240101,20240110,20240112,2025.0,22.057752321517654,446.67,Installments,Completed,0,,,2,2,0,3,0,,9
10077,1062,5,105,20240101,20240110,20240114,2426.4,17.790063959217566,431.66,Installments,Completed,0,,,4,4,1,3,0,,9
10078,1016,6,103,20240101,20240108,20240112,1620.0,23.95760461540226,388.11,Mada,Completed,0,,,4,1,1,4,0,,7
10079,1069,4,104,20240101,20240107,20240110,1620.0,16.37272954800923,265.24,CreditCard,Completed,0,,,3,2,0,1,1,,6
10080,1018,8,108,20240105,20240106,20240109,1213.2,19.069074515468834,231.35,Installments,Completed,0,,,3,3,1,1,0,10.74,1
10081,1054,8,103,20240101,20240107,20240109,606.6,24.9717180308851,151.48,Installments,Completed,0,,,2,3,0,1,1,,6
10082,1059,8,105,20240101,20240108,20240110,2227.5,23.892599637699163,532.21,CreditCard,Completed,0,,,2,3,1,4,0,,7
10083,1044,7,107,20240101,20240111,20240113,4320.0,16.754949138384646,723.81,Installments,Completed,0,,,2,4,0,2,0,,10
