Table Name,Type,Granularity,Record Count,Columns,Key Columns
Fact_Bookings,Fact Table,One row per booking transaction,"10,000-20,000",20,"Booking_ID (PK), Hotel_ID (FK), Customer_ID (FK), Booking_Date_ID (FK)"
Fact_Searches,Fact Table,One row per search query,"50,000-100,000",13,"Search_ID (PK), Customer_ID (FK), Search_Date_ID (FK)"
Fact_Competitor_Prices,Fact Table,One row per hotel-competitor-date price snapshot,"500,000+",8,"Competitor_Price_ID (PK), Hotel_ID (FK), Competitor_ID (FK)"
Dim_Date,Dimension Table,One row per calendar day,~550 days (18 months),22,"Date_ID (PK), Hijri_Date, Is_Ramadan, Is_Hajj_Season"
Dim_Hotel,Dimension Table,One row per hotel property,50-100 hotels,19,"Hotel_ID (PK), City, Star_Rating, Chain_Name"
Dim_Customer,Dimension Table,One row per customer,"5,000-15,000",16,"Customer_ID (PK), Email, Customer_Type, Is_Loyalty_Member"
Dim_Location,Dimension Table,One row per city/district,9-15 locations,7,"Location_ID (PK), City, District, City_Type"
Dim_RoomType,Dimension Table,One row per room category,~15-20 types,5,"Room_Type_ID (PK), Room_Category, Max_Occupancy"
Dim_Competitor,Dimension Table,One row per OTA competitor,7 competitors,5,"Competitor_ID (PK), Competitor_Name, Market_Position"
Dim_Channel,Dimension Table,One row per booking channel,~5-10 channels,4,"Channel_ID (PK), Channel_Name, Channel_Type"
Dim_LoyaltyTier,Dimension Table,One row per loyalty tier,~4-5 tiers,6,"Loyalty_Tier_ID (PK), Tier_Name, Min_Bookings"
Dim_MarketEvent,Dimension Table,One row per seasonal/market event,~15-20 events,7,"Event_ID (PK), Event_Name, Event_Type, Demand_Multiplier"
